event_id,date,team,status,blocker
dev-status-01,2026-09-07,Operations,ready,Waiting for review
dev-status-02,2026-09-08,Design,in progress,
dev-status-03,2026-09-09,Operations,in progress,
dev-status-04,2026-09-10,Design,ready,
dev-status-05,2026-09-11,Operations,in progress,Waiting for review
dev-status-06,2026-09-14,Design,in progress,
dev-status-07,2026-09-15,Operations,ready,
dev-status-08,2026-09-16,Design,in progress,
dev-status-09,2026-09-17,Operations,in progress,Waiting for review
dev-status-10,2026-09-18,Design,ready,
